Time Spent Per Activity Instance


Time Spent    Activity
0:58:23       Spare_Time/TV
0:00:18       Grooming
1:48:32       Spare_Time/TV
0:01:19       Grooming
9:32:25       Sleeping
0:00:31       Toileting
0:00:20       Grooming
0:03:23       Showering
0:08:02       Breakfast
1:23:22       Spare_Time/TV
0:08:54       Grooming
3:49:40       Leaving
0:13:59       Spare_Time/TV
0:03:20       Toileting
0:52:41       Spare_Time/TV
0:00:02       Grooming
0:16:45       Spare_Time/TV
0:16:34       Leaving
1:44:37       Spare_Time/TV
0:00:13       Grooming
3:11:22       Spare_Time/TV
0:00:18       Grooming
0:29:08       Spare_Time/TV
8:35:30       Sleeping
0:07:48       Toileting
0:09:11       Grooming
0:04:58       Showering
0:06:52       Breakfast
2:30:49       Spare_Time/TV
0:00:45       Grooming
4:03:00       Leaving
3:05:28       Spare_Time/TV
0:01:22       Grooming
4:30:25       Leaving
1:24:48       Spare_Time/TV
0:01:21       Grooming
9:26:19       Sleeping
0:03:10       Toileting
0:00:14       Grooming
0:15:46       Showering
0:08:12       Breakfast
1:53:29       Spare_Time/TV
0:52:05       Lunch
0:01:15       Toileting
0:01:56       Grooming
5:57:57       Spare_Time/TV

Cumulative time spent on activities over 14 days


Toileting    Showering    Spare_Time/TV     Sleeping          Lunch    Snack    Breakfast    Leaving         Grooming
-----------  -----------  ----------------  ----------------  -------  -------  -----------  --------------  ----------
2:19:26      1:34:09      5 days, 22:28:55  5 days, 11:03:31  5:13:31  0:06:01  1:50:06      1 day, 2:24:22  1:40:24

Percent of time spent on activities over 14 days
  Toileting    Showering    Spare_Time/TV    Sleeping      Lunch        Snack    Breakfast    Leaving    Grooming
-----------  -----------  ---------------  ----------  ---------  -----------  -----------  ---------  ----------
 0.00691634   0.00467014         0.424053    0.390055  0.0155514  0.000298446   0.00546131  0.0785896  0.00498016
