
Raw Data:

  Jurisdiction Name    Number of Hispanic Residents
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC WHITE                           119
PARKINSONS DISEASE                                    NON-HISPANIC WHITE                            79
PEPTIC ULCER                                          NON-HISPANIC WHITE                            19
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC WHITE                           211
SEPTICEMIA                                            NON-HISPANIC WHITE                            74
SHORT GESTATION/LBW                                   NON-HISPANIC WHITE                            14
VIRAL HEPATITIS                                       NON-HISPANIC WHITE                            82
ACCIDENTS EXCEPT DRUG POISONING                       ASIAN &amp; PACIFIC ISLANDER                  44
ALZHEIMERS DISEASE                                    ASIAN &amp; PACIFIC ISLANDER                  24
ANEMIAS                                               ASIAN &amp; PACIFIC ISLANDER                   5
ASSAULT (HOMICIDE)                                    ASIAN &amp; PACIFIC ISLANDER                   6
BENIGN AND UNCERTAIN NEOPLASMS                        ASIAN &amp; PACIFIC ISLANDER                  11
CEREBROVASCULAR DISEASE                               ASIAN &amp; PACIFIC ISLANDER                  98
CHOLELITHIASIS AND DISORDERS OF GALLBLADDER           ASIAN &amp; PACIFIC ISLANDER                   6
CHRONIC LIVER DISEASE AND CIRRHOSIS                   ASIAN &amp; PACIFIC ISLANDER                  10
CHRONIC LOWER RESPIRATORY DISEASES                    ASIAN &amp; PACIFIC ISLANDER                  30
CONGENITAL MALFORMATIONS,DEFORMATIONS                 ASIAN &amp; PACIFIC ISLANDER                   7
DIABETES MELLITUS                                     ASIAN &amp; PACIFIC ISLANDER                  51
DISEASES OF HEART                                     ASIAN &amp; PACIFIC ISLANDER                 402
ESSENTIAL HYPERTENSION AND RENAL DISEASES             ASIAN &amp; PACIFIC ISLANDER                  46
INFLUENZA AND PNEUMONIA                               ASIAN &amp; PACIFIC ISLANDER                  84
INTENTIONAL SELF-HARM (SUICIDE)                       ASIAN &amp; PACIFIC ISLANDER                  23
MALIGNANT NEOPLASMS                                   ASIAN &amp; PACIFIC ISLANDER                 454
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           ASIAN &amp; PACIFIC ISLANDER                  18
PARKINSONS DISEASE                                    ASIAN &amp; PACIFIC ISLANDER                   5
SEPTICEMIA                                            ASIAN &amp; PACIFIC ISLANDER                  11
VIRAL HEPATITIS                                       ASIAN &amp; PACIFIC ISLANDER                   6
ACCIDENTS EXCEPT DRUG POISONING                       ASIAN &amp; PACIFIC ISLANDER                  61
ALZHEIMERS DISEASE                                    ASIAN &amp; PACIFIC ISLANDER                  18
AORTIC ANEURYSM AND DISSECTION                        ASIAN &amp; PACIFIC ISLANDER                   6
ASSAULT (HOMICIDE)                                    ASIAN &amp; PACIFIC ISLANDER                   9
ATHEROSCLEROSIS                                       ASIAN &amp; PACIFIC ISLANDER                   6
BENIGN AND UNCERTAIN NEOPLASMS                        ASIAN &amp; PACIFIC ISLANDER                  11
CEREBROVASCULAR DISEASE                               ASIAN &amp; PACIFIC ISLANDER                  79
CHRONIC LIVER DISEASE AND CIRRHOSIS                   ASIAN &amp; PACIFIC ISLANDER                  15
CHRONIC LOWER RESPIRATORY DISEASES                    ASIAN &amp; PACIFIC ISLANDER                  73
CONGENITAL MALFORMATIONS,DEFORMATIONS                 ASIAN &amp; PACIFIC ISLANDER                  13
DIABETES MELLITUS                                     ASIAN &amp; PACIFIC ISLANDER                  60
DISEASES OF HEART                                     ASIAN &amp; PACIFIC ISLANDER                 452
ESSENTIAL HYPERTENSION AND RENAL DISEASES             ASIAN &amp; PACIFIC ISLANDER                  37
INFLUENZA AND PNEUMONIA                               ASIAN &amp; PACIFIC ISLANDER                  94
INTENTIONAL SELF-HARM (SUICIDE)                       ASIAN &amp; PACIFIC ISLANDER                  50
MALIGNANT NEOPLASMS                                   ASIAN &amp; PACIFIC ISLANDER                 550
MENTAL DISORDERS DUE TO USE OF ALCOHOL                ASIAN &amp; PACIFIC ISLANDER                  11
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           ASIAN &amp; PACIFIC ISLANDER                  17
PARKINSONS DISEASE                                    ASIAN &amp; PACIFIC ISLANDER                  11
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  ASIAN &amp; PACIFIC ISLANDER                   5
SEPTICEMIA                                            ASIAN &amp; PACIFIC ISLANDER                  15
SHORT GESTATION/LBW                                   ASIAN &amp; PACIFIC ISLANDER                   5
TUBERCULOSIS                                          ASIAN &amp; PACIFIC ISLANDER                  10
VIRAL HEPATITIS                                       ASIAN &amp; PACIFIC ISLANDER                  16
ACCIDENTS EXCEPT DRUG POISONING                       HISPANIC                                      52
ALZHEIMERS DISEASE                                    HISPANIC                                      90
AORTIC ANEURYSM AND DISSECTION                        HISPANIC                                      12
ASSAULT (HOMICIDE)                                    HISPANIC                                      20
ATHEROSCLEROSIS                                       HISPANIC                                      15
BENIGN AND UNCERTAIN NEOPLASMS                        HISPANIC                                      17
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          HISPANIC                                       8
CEREBROVASCULAR DISEASE                               HISPANIC                                     179
CHRONIC LIVER DISEASE AND CIRRHOSIS                   HISPANIC                                      39
CHRONIC LOWER RESPIRATORY DISEASES                    HISPANIC                                     156
CONGENITAL MALFORMATIONS,DEFORMATIONS                 HISPANIC                                      21
DIABETES MELLITUS                                     HISPANIC                                     196
DISEASES OF HEART                                     HISPANIC                                    1348
ESSENTIAL HYPERTENSION AND RENAL DISEASES             HISPANIC                                      83
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  HISPANIC                                      70
INFLUENZA AND PNEUMONIA                               HISPANIC                                     218
INTENTIONAL SELF-HARM (SUICIDE)                       HISPANIC                                      21
MALIGNANT NEOPLASMS                                   HISPANIC                                    1085
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           HISPANIC                                      42
PARKINSONS DISEASE                                    HISPANIC                                      16
PREGNANCY, CHILDBIRTH AND THE PUERPERIUM              HISPANIC                                      12
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  HISPANIC                                      56
SEPTICEMIA                                            HISPANIC                                      42
SHORT GESTATION/LBW                                   HISPANIC                                      16
VIRAL HEPATITIS                                       HISPANIC                                      39
ACCIDENTS EXCEPT DRUG POISONING                       HISPANIC                                     180
ALZHEIMERS DISEASE                                    HISPANIC                                      38
ANEMIAS                                               HISPANIC                                      10
AORTIC ANEURYSM AND DISSECTION                        HISPANIC                                      20
ASSAULT (HOMICIDE)                                    HISPANIC                                     115
BENIGN AND UNCERTAIN NEOPLASMS                        HISPANIC                                      18
CEREBROVASCULAR DISEASE                               HISPANIC                                     147
CHRONIC LIVER DISEASE AND CIRRHOSIS                   HISPANIC                                     167
CHRONIC LOWER RESPIRATORY DISEASES                    HISPANIC                                     124
CONGENITAL MALFORMATIONS,DEFORMATIONS                 HISPANIC                                      37
DIABETES MELLITUS                                     HISPANIC                                     200
DISEASES OF HEART                                     HISPANIC                                    1201
ESSENTIAL HYPERTENSION AND RENAL DISEASES             HISPANIC                                      69
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  HISPANIC                                     162
INFLUENZA AND PNEUMONIA                               HISPANIC                                     209
INTENTIONAL SELF-HARM (SUICIDE)                       HISPANIC                                      93
MALIGNANT NEOPLASMS                                   HISPANIC                                    1144
MENTAL DISORDERS DUE TO USE OF ALCOHOL                HISPANIC                                      48
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           HISPANIC                                      44
PARKINSONS DISEASE                                    HISPANIC                                      21
PEPTIC ULCER                                          HISPANIC                                       9
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  HISPANIC                                     145
SEPTICEMIA                                            HISPANIC                                      40
SHORT GESTATION/LBW                                   HISPANIC                                      12
VIRAL HEPATITIS                                       HISPANIC                                     105
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC BLACK                            76
ALZHEIMERS DISEASE                                    NON-HISPANIC BLACK                            90
ANEMIAS                                               NON-HISPANIC BLACK                            13
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC BLACK                            19
ASSAULT (HOMICIDE)                                    NON-HISPANIC BLACK                            52
ATHEROSCLEROSIS                                       NON-HISPANIC BLACK                            20
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC BLACK                            41
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          NON-HISPANIC BLACK                            16
CEREBROVASCULAR DISEASE                               NON-HISPANIC BLACK                           281
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC BLACK                            39
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC BLACK                           221
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC BLACK                            29
DIABETES MELLITUS                                     NON-HISPANIC BLACK                           410
DISEASES OF HEART                                     NON-HISPANIC BLACK                          2243
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC BLACK                           225
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC BLACK                           144
INFLUENZA AND PNEUMONIA                               NON-HISPANIC BLACK                           273
MALIGNANT NEOPLASMS                                   NON-HISPANIC BLACK                          1918
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC BLACK                            17
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC BLACK                            83
PEPTIC ULCER                                          NON-HISPANIC BLACK                            22
PREGNANCY, CHILDBIRTH AND THE PUERPERIUM              NON-HISPANIC BLACK                            13
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC BLACK                            65
SEPTICEMIA                                            NON-HISPANIC BLACK                            52
SHORT GESTATION/LBW                                   NON-HISPANIC BLACK                            27
VIRAL HEPATITIS                                       NON-HISPANIC BLACK                            33
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC BLACK                           133
ALZHEIMERS DISEASE                                    NON-HISPANIC BLACK                            39
ANEMIAS                                               NON-HISPANIC BLACK                            24
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC BLACK                            29
ASSAULT (HOMICIDE)                                    NON-HISPANIC BLACK                           266
ATHEROSCLEROSIS                                       NON-HISPANIC BLACK                            15
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC BLACK                            16
CEREBROVASCULAR DISEASE                               NON-HISPANIC BLACK                           200
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC BLACK                            66
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC BLACK                           200
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC BLACK                            31
DIABETES MELLITUS                                     NON-HISPANIC BLACK                           307
DISEASES OF HEART                                     NON-HISPANIC BLACK                          1840
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC BLACK                           154
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC BLACK                           277
INFLUENZA AND PNEUMONIA                               NON-HISPANIC BLACK                           243
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC BLACK                            53
MALIGNANT NEOPLASMS                                   NON-HISPANIC BLACK                          1590
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC BLACK                            45
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC BLACK                            76
PEPTIC ULCER                                          NON-HISPANIC BLACK                            18
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC BLACK                           135
SEPTICEMIA                                            NON-HISPANIC BLACK                            54
SHORT GESTATION/LBW                                   NON-HISPANIC BLACK                            17
VIRAL HEPATITIS                                       NON-HISPANIC BLACK                            56
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC WHITE                           184
ALZHEIMERS DISEASE                                    NON-HISPANIC WHITE                           231
ANEMIAS                                               NON-HISPANIC WHITE                            15
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC WHITE                            27
ASSAULT (HOMICIDE)                                    NON-HISPANIC WHITE                            20
ATHEROSCLEROSIS                                       NON-HISPANIC WHITE                            58
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC WHITE                            73
CEREBROVASCULAR DISEASE                               NON-HISPANIC WHITE                           466
CHOLELITHIASIS AND DISORDERS OF GALLBLADDER           NON-HISPANIC WHITE                            15
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC WHITE                            79
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC WHITE                           510
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC WHITE                            39
DIABETES MELLITUS                                     NON-HISPANIC WHITE                           253
DISEASES OF HEART                                     NON-HISPANIC WHITE                          5016
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC WHITE                           199
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC WHITE                            19
INFLUENZA AND PNEUMONIA                               NON-HISPANIC WHITE                           696
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC WHITE                            68
MALIGNANT NEOPLASMS                                   NON-HISPANIC WHITE                          3373
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC WHITE                            19
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC WHITE                            76
PARKINSONS DISEASE                                    NON-HISPANIC WHITE                            55
PEPTIC ULCER                                          NON-HISPANIC WHITE                            24
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC WHITE                            88
SEPTICEMIA                                            NON-HISPANIC WHITE                            86
VIRAL HEPATITIS                                       NON-HISPANIC WHITE                            32
ACCIDENTS EXCEPT DRUG POISONING                       NON-HISPANIC WHITE                           272
ALZHEIMERS DISEASE                                    NON-HISPANIC WHITE                            89
AORTIC ANEURYSM AND DISSECTION                        NON-HISPANIC WHITE                            44
ASSAULT (HOMICIDE)                                    NON-HISPANIC WHITE                            33
ATHEROSCLEROSIS                                       NON-HISPANIC WHITE                            29
BENIGN AND UNCERTAIN NEOPLASMS                        NON-HISPANIC WHITE                            76
CEREBROVASCULAR DISEASE                               NON-HISPANIC WHITE                           290
CHRONIC LIVER DISEASE AND CIRRHOSIS                   NON-HISPANIC WHITE                           127
CHRONIC LOWER RESPIRATORY DISEASES                    NON-HISPANIC WHITE                           444
CONGENITAL MALFORMATIONS,DEFORMATIONS                 NON-HISPANIC WHITE                            55
DIABETES MELLITUS                                     NON-HISPANIC WHITE                           258
DISEASES OF HEART                                     NON-HISPANIC WHITE                          4220
ESSENTIAL HYPERTENSION AND RENAL DISEASES             NON-HISPANIC WHITE                           142
HUMAN IMMUNODEFICIENCY VIRUS DISEASE                  NON-HISPANIC WHITE                            75
INFLUENZA AND PNEUMONIA                               NON-HISPANIC WHITE                           646
INTENTIONAL SELF-HARM (SUICIDE)                       NON-HISPANIC WHITE                           177
MALIGNANT NEOPLASMS                                   NON-HISPANIC WHITE                          3222
MENTAL DISORDERS DUE TO USE OF ALCOHOL                NON-HISPANIC WHITE                            60
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           NON-HISPANIC WHITE                            89
PARKINSONS DISEASE                                    NON-HISPANIC WHITE                            77
PEPTIC ULCER                                          NON-HISPANIC WHITE                            21
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  NON-HISPANIC WHITE                           254
SEPTICEMIA                                            NON-HISPANIC WHITE                            75
SHORT GESTATION/LBW                                   NON-HISPANIC WHITE                            15
VIRAL HEPATITIS                                       NON-HISPANIC WHITE                            76
ACCIDENTS EXCEPT DRUG POISONING                       ASIAN &amp; PACIFIC ISLANDER                  32
ALZHEIMERS DISEASE                                    ASIAN &amp; PACIFIC ISLANDER                   7
AORTIC ANEURYSM AND DISSECTION                        ASIAN &amp; PACIFIC ISLANDER                   9
ASSAULT (HOMICIDE)                                    ASIAN &amp; PACIFIC ISLANDER                   6
ATHEROSCLEROSIS                                       ASIAN &amp; PACIFIC ISLANDER                   5
BENIGN AND UNCERTAIN NEOPLASMS                        ASIAN &amp; PACIFIC ISLANDER                   6
CEREBROVASCULAR DISEASE                               ASIAN &amp; PACIFIC ISLANDER                  70
CHRONIC LIVER DISEASE AND CIRRHOSIS                   ASIAN &amp; PACIFIC ISLANDER                   6
CHRONIC LOWER RESPIRATORY DISEASES                    ASIAN &amp; PACIFIC ISLANDER                  29
DIABETES MELLITUS                                     ASIAN &amp; PACIFIC ISLANDER                  34
DISEASES OF HEART                                     ASIAN &amp; PACIFIC ISLANDER                 428
ESSENTIAL HYPERTENSION AND RENAL DISEASES             ASIAN &amp; PACIFIC ISLANDER                  22
INFLUENZA AND PNEUMONIA                               ASIAN &amp; PACIFIC ISLANDER                  58
INTENTIONAL SELF-HARM (SUICIDE)                       ASIAN &amp; PACIFIC ISLANDER                  22
MALIGNANT NEOPLASMS                                   ASIAN &amp; PACIFIC ISLANDER                 396
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           ASIAN &amp; PACIFIC ISLANDER                  13
PARKINSONS DISEASE                                    ASIAN &amp; PACIFIC ISLANDER                   5
PEPTIC ULCER                                          ASIAN &amp; PACIFIC ISLANDER                   6
VIRAL HEPATITIS                                       ASIAN &amp; PACIFIC ISLANDER                   7
ACCIDENTS EXCEPT DRUG POISONING                       ASIAN &amp; PACIFIC ISLANDER                  54
AORTIC ANEURYSM AND DISSECTION                        ASIAN &amp; PACIFIC ISLANDER                   5
BENIGN AND UNCERTAIN NEOPLASMS                        ASIAN &amp; PACIFIC ISLANDER                   9
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          ASIAN &amp; PACIFIC ISLANDER                   5
CEREBROVASCULAR DISEASE                               ASIAN &amp; PACIFIC ISLANDER                  56
CHRONIC LIVER DISEASE AND CIRRHOSIS                   ASIAN &amp; PACIFIC ISLANDER                  18
CHRONIC LOWER RESPIRATORY DISEASES                    ASIAN &amp; PACIFIC ISLANDER                  43
CONGENITAL MALFORMATIONS,DEFORMATIONS                 ASIAN &amp; PACIFIC ISLANDER                  12
DIABETES MELLITUS                                     ASIAN &amp; PACIFIC ISLANDER                  47
DISEASES OF HEART                                     ASIAN &amp; PACIFIC ISLANDER                 497
ESSENTIAL HYPERTENSION AND RENAL DISEASES             ASIAN &amp; PACIFIC ISLANDER                  25
INFLUENZA AND PNEUMONIA                               ASIAN &amp; PACIFIC ISLANDER                  68
INTENTIONAL SELF-HARM (SUICIDE)                       ASIAN &amp; PACIFIC ISLANDER                  38
MALIGNANT NEOPLASMS                                   ASIAN &amp; PACIFIC ISLANDER                 528
MENTAL DISORDERS DUE TO USE OF ALCOHOL                ASIAN &amp; PACIFIC ISLANDER                  11
NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS           ASIAN &amp; PACIFIC ISLANDER                  14
PEPTIC ULCER                                          ASIAN &amp; PACIFIC ISLANDER                   5
PSYCH. SUBSTANCE USE &amp; ACCIDENTAL DRUG POISONING  ASIAN &amp; PACIFIC ISLANDER                   7
SEPTICEMIA                                            ASIAN &amp; PACIFIC ISLANDER                  10
VIRAL HEPATITIS                                       ASIAN &amp; PACIFIC ISLANDER                  12
ACCIDENTS EXCEPT DRUG POISONING                       HISPANIC                                      72
ALZHEIMERS DISEASE                                    HISPANIC                                      43
AORTIC ANEURYSM AND DISSECTION                        HISPANIC                                      19
ASSAULT (HOMICIDE)                                    HISPANIC                                      22
ATHEROSCLEROSIS                                       HISPANIC                                      12
BENIGN AND UNCERTAIN NEOPLASMS                        HISPANIC                                      12
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD          HISPANIC                                       8
CEREBROVASCULAR DISEASE                               HISPANIC                                     164
CHOLELITHIASIS AND DISORDERS OF GALLBLADDER           HISPANIC                                       9
CHRONIC LIVER DISEASE AND CIRRHOSIS                   HISPANIC                                      37
CHRONIC LOWER RESPIRATORY DISEASES                    HISPANIC                                     116
